sourcetype,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc,exclude,exclude_reason,reviewed_by,reviewed_date,provenance
azure:activity:Recommendation,operational,,low,,Microsoft,Azure Advisor recommendation events,"Azure Advisor recommendation events - cost, security, reliability, and performance recommendations.",N,,AI Analysis,5/27/2026,human_curated
azure:activity:ResourceHealth,operational,,low,,Microsoft,Azure Resource Health events,Azure Resource Health events - per-resource availability changes (Available/Degraded/Unavailable/Unknown).,N,,AI Analysis,5/27/2026,human_curated
azure:activity:RouteDiagnosticLog,operational,,low,,Microsoft,Azure route diagnostic log,Azure routing diagnostic log - effective route table changes and next-hop resolution events.,N,,AI Analysis,5/27/2026,human_curated
azure:activity:ServiceHealth,operational,,low,,Microsoft,Azure Service Health events,"Azure Service Health events - service issues, planned maintenance, health advisories, and security advisories from the Azure platform.",N,,AI Analysis,5/27/2026,human_curated
azure:activity:StorageDelete,"security,operational",,med,Change.All_Changes,Microsoft,Azure Storage delete operations,Azure Storage delete operations - blob/file/queue/table delete activity for audit and DLP.,N,,AI Analysis,5/27/2026,human_curated
azure:activity:StorageRead,"security,operational",,low,Data_Access.Data_Access,Microsoft,Azure Storage read operations,"Azure Storage read operations - blob/file/queue/table read activity, including SAS-token usage.",N,,AI Analysis,5/27/2026,human_curated
azure:activity:StorageWrite,"security,operational",,med,Change.All_Changes,Microsoft,Azure Storage write operations,Azure Storage write operations - blob/file/queue/table create and update activity.,N,,AI Analysis,5/27/2026,human_curated
azure:activity:TunnelDiagnosticLog,operational,,low,,Microsoft,Azure VPN tunnel diagnostic log,"Azure VPN tunnel diagnostic log - tunnel up/down events, IPsec SA negotiation, traffic counters.",N,,AI Analysis,5/27/2026,human_curated
azure:activity:Write,"security,operational",CSPM,high,Change.All_Changes,Microsoft,Azure Activity log - Write operations,"Azure Activity log - write operations against resources (create, update). High-value for change tracking and threat detection.",N,,AI Analysis,5/27/2026,human_curated
azure:aks,"security,operational",CSPM,med,"Change.All_Changes, Authentication.Authentication",Microsoft,Azure Kubernetes Service logs,"Azure Kubernetes Service control-plane and add-on logs - API server audit, scheduler, controller manager, cluster autoscaler events.",N,,MDI Reference,4/3/2026,human_curated
azure:compute:disk,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:disk),"Azure managed disk inventory data - disk SKU, size, encryption state, attached VM.",N,,AI Analysis,3/25/2026,human_curated
azure:compute:snapshot,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:snapshot),"Azure managed disk snapshot inventory - snapshot source, size, creation time, encryption state.",N,,AI Analysis,3/25/2026,human_curated
azure:compute:vm,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (azure:compute:vm),"Azure virtual machine inventory - VM size, OS, power state, attached disks, network interfaces, tags.",N,,AI Analysis,3/25/2026,human_curated
azure:eventhub,operational,,none,,Microsoft,Azure Event Hub ingestion logs,"Azure Event Hubs ingestion-side logs - producer connections, partition activity, throttling events.",N,,MDI Reference,4/3/2026,human_curated
azure:firewall,security,FW,high,"Network_Traffic.All_Traffic, Network_Sessions.All_Sessions",Microsoft,Azure Firewall logs,"Azure Firewall logs - allowed/denied traffic, application-rule matches, network-rule matches, threat-intel hits, DNS proxy queries.",N,,MDI Reference,4/3/2026,human_curated
azure:frontdoor,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Microsoft,Azure Front Door WAF logs,"Azure Front Door access and WAF logs - HTTP request details, applied WAF rules, action (allow/block/log), latency, origin response.",N,,MDI Reference,4/3/2026,human_curated
azure:iot:hub,"security,operational",,med,"Alerts.Alerts, Change.All_Changes",Microsoft,Azure IoT Hub device events,"Azure IoT Hub device events - device connect/disconnect, message routing, twin updates, direct method invocations.",N,,MDI Reference,4/3/2026,human_curated
azure:keyvault,security,IAM,high,"Data_Access.All_Data_Access_Logs, Change.All_Changes",Microsoft,Azure Key Vault audit logs,"Azure Key Vault audit logs - secret/key/certificate access, vault administration, RBAC and access policy changes.",N,,MDI Reference,4/3/2026,human_curated
azure:metrics,operational,,low,Performance.All_Performance,Microsoft,Azure resource metrics,"Azure resource platform metrics - per-resource numeric time-series (CPU, memory, network, storage, custom).",N,,AI Analysis,3/25/2026,human_curated
azure:monitor,operational,,none,Performance.All_Performance,Microsoft,Azure Monitor metrics,Azure Monitor metric stream - unified metric pipeline aggregating per-resource metrics across services.,N,,MDI Reference,4/3/2026,human_curated
azure:netflow,security,FW,high,Network_Traffic.All_Traffic,Microsoft,Azure NSG flow logs (netflow format),Azure NSG flow logs delivered in NetFlow format for cross-tool consumption.,N,,AI Analysis,5/27/2026,human_curated
azure:nsg:flowlogs,"security,operational",FW,high,Network_Traffic.All_Traffic,Microsoft,Azure NSG flow logs,Azure NSG flow logs (alternate naming) - per-flow 5-tuple records of traffic evaluated by NSG rules; superseded by VNet flow logs in newer deployments.,N,,MDI Reference,4/3/2026,human_curated
azure:policy:compliance,security,CSPM,med,Vulnerabilities.Vulnerabilities,Microsoft,Azure Policy compliance data,Azure Policy compliance results - resource-by-resource evaluation against policy assignments and initiatives.,N,,MDI Reference,4/3/2026,human_curated
azure:securityCenter:alert,security,CSPM,high,Alerts.Alerts,Microsoft,Azure Security Center data,"Microsoft Defender for Cloud (formerly Azure Security Center) alert events - threats detected across Azure, AWS, GCP, and hybrid workloads.",N,,AI Analysis,3/25/2026,human_curated
azure:securityCenter:task,security,CSPM,high,Alerts.Alerts,Microsoft,Azure Security Center data,Microsoft Defender for Cloud security tasks - recommended remediations and their lifecycle state (open/in-progress/resolved).,N,,AI Analysis,3/25/2026,human_curated
azure:storage:blob,"security,operational",CSPM,med,Data_Access.All_Data_Access_Logs,Microsoft,Azure Blob Storage access logs,"Azure Blob Storage access logs - read/write/delete operations, requester identity, status, latency, bytes transferred.",N,,MDI Reference,4/3/2026,human_curated
azure:vnet,operational,,low,Compute_Inventory.Network,Microsoft,Azure Virtual Network config data,"Azure Virtual Network configuration data - VNet definitions, address spaces, subnets, peering relationships.",N,,AI Analysis,5/27/2026,human_curated
azure:vnet:ip:public,operational,,low,Compute_Inventory.Network,Microsoft,Azure public IP address inventory,"Azure public IP address inventory - allocation, SKU, attached resource, DNS settings.",N,,AI Analysis,5/27/2026,human_curated
azure:vnet:nic,operational,,low,Compute_Inventory.Network,Microsoft,Azure NIC inventory data,"Azure network interface inventory - NIC name, attached VM, private/public IP assignments, NSG association.",N,,AI Analysis,5/27/2026,human_curated
dependency-agent-install,operational,,low,,Microsoft,Azure dependency agent logs,"Azure Monitor Dependency Agent installation log on Linux/Windows VMs - install progress, prerequisite checks, registration with the workspace.",N,,AI Analysis,3/25/2026,human_curated
extension,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM extension handler log - extension install/upgrade/uninstall and command execution events.,N,,AI Analysis,3/25/2026,human_curated
GraphSecurityAlert,security,"SIEM, XDR",high,Alerts.Alerts,Microsoft,Microsoft Graph Security API alerts,"Security alerts aggregated through the Microsoft Graph Security API from Defender for Endpoint, Defender for Cloud, Defender for Identity, Microsoft Sentinel, and other connected Microsoft security products.",N,,AI Analysis,5/27/2026,human_curated
handler,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM extension handler operational log - generic handler-side events shared across multiple Azure extensions.,N,,AI Analysis,3/25/2026,human_curated
iis,security,,med,Web.Web,Microsoft,Microsoft IIS web server logs,"Microsoft IIS web server access logs - HTTP method, URI, query, status, bytes, client IP, user agent, processing time.",N,,AI Analysis,3/25/2026,human_curated
InMage_drivers,operational,,low,,Microsoft,Azure Site Recovery drivers,"Azure Site Recovery (InMage Scout) driver-level logs on protected workloads - replication driver state, write tracking, sync progress.",N,,AI Analysis,3/25/2026,human_curated
InstallLog:Sysmon,operational,,low,Change.All_Changes,Microsoft,Sysmon installer log,"Sysinternals Sysmon installer log capturing service install, driver load, and configuration apply events on Windows endpoints.",N,,AI Analysis,5/27/2026,human_curated
intune,operational,,med,"Inventory.Inventory, Updates.All_Updates",Microsoft,Microsoft Intune MDM logs,"Microsoft Intune MDM logs - device enrollment, compliance status, configuration profile assignment, app deployment.",N,,AI Analysis,3/25/2026,human_curated
MdeExtensionHandlerLog,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint extension handler installation log on Azure VMs - extension agent activity during MDE onboarding.,N,,AI Analysis,3/25/2026,human_curated
MdeInstallerLog,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint installer log - per-host install/upgrade progress and errors.,N,,AI Analysis,3/25/2026,human_curated
MdeInstallerWrapperLog,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint installer wrapper log - wrapper script around the MDE installer with environment-prep messages.,N,,AI Analysis,3/25/2026,human_curated
Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux-monitor.log,operational,,low,,Microsoft,Azure Microsoft.Azure.NetworkWatcher.NetworkWatche,"Azure Network Watcher agent monitor log on Linux VMs - agent health, connectivity probe results, NSG rule evaluation traces.",N,,AI Analysis,3/25/2026,human_curated
Microsoft.Azure.RecoveryServices.VMSnapshotLinux-shell.log,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (Microsoft.Azure.RecoveryServic,Azure Site Recovery VM snapshot helper shell log on Linux VMs - snapshot pre/post hook execution and shell command results.,N,,AI Analysis,3/25/2026,human_curated
microsoft:defender:atp,security,XDR,high,"Endpoint.Processes, Malware.Malware_Operations",Microsoft,Microsoft Defender ATP logs,Microsoft Defender for Endpoint (formerly ATP) alert and machine event data via the Splunk Add-on for Microsoft Defender ATP.,N,,AI Analysis,3/25/2026,human_curated
microsoft:defender:core,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core process and security event telemetry from the Defender agent on Windows endpoints.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint primary event log - threat detections, scan results, real-time protection events.",N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_core,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint core component log - signature engine activity, scan results, and definition updates.",N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_core_err,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core component error log - failures within the core engine subsystem.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_diagnostic,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint diagnostic log - support/troubleshooting telemetry for the Defender agent.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_diagnostic_err,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint diagnostic error log - errors emitted by the diagnostic subsystem.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_enterprise,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint enterprise event log - cloud-protection, EDR sensor, and policy events.",N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_enterprise_err,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint enterprise error log - failures in the cloud-protection and EDR sensor pipelines.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_err,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint error log - top-level agent errors not specific to a subcomponent.,N,,AI Analysis,3/25/2026,human_curated
microsoft_defender_mplog,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender MPLog - high-detail scan, signature lookup, and behavior monitor trace log used for deep troubleshooting.",N,,AI Analysis,3/25/2026,human_curated
ms:aad:audit,security,IAM,med,Change.Audit_Logs,Microsoft,Azure Active Directory audit logs,Microsoft Entra ID (Azure AD) audit logs via the Splunk Add-on for Microsoft Cloud Services (alternate naming to azure:aad:audit).,N,,AI Analysis,3/25/2026,human_curated
ms:aad:signin,security,IAM,high,Authentication.Authentication,Microsoft,Azure Active Directory sign-in logs,Microsoft Entra ID (Azure AD) sign-in logs via the Splunk Add-on for Microsoft Cloud Services (alternate naming to azure:aad:signin).,N,,AI Analysis,3/25/2026,human_curated
ms:azure:activity,security,CSPM,med,Change.All_Changes,Microsoft,Azure Activity Log,Azure Activity log delivered via the Splunk Add-on for Microsoft Cloud Services modular input (alternate naming to azure:activity).,N,,AI Analysis,3/25/2026,human_curated
ms:azure:securitycenter,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Microsoft,Azure Security Center alerts,Microsoft Defender for Cloud alerts delivered via the Splunk Add-on for Microsoft Cloud Services.,N,,AI Analysis,3/25/2026,human_curated
ms:defender:alerts,security,EDR,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Microsoft,Microsoft Defender alert data,"Microsoft Defender alert events via the Splunk Add-on - aggregated alert stream across Defender for Endpoint, Defender for Cloud Apps, Defender for Identity.",N,,AI Analysis,3/25/2026,human_curated
ms:defender:core,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core telemetry stream via the Splunk Add-on - device events backing detections and hunts.,N,,AI Analysis,3/25/2026,human_curated
ms:defender:ent,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint enterprise event stream via the Splunk Add-on - org-wide event aggregation.,N,,AI Analysis,3/25/2026,human_curated
ms:defender:events,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",Microsoft,Microsoft Defender event data,Microsoft Defender event data via the Splunk Add-on - investigation timeline events tied to alerts.,N,,AI Analysis,3/25/2026,human_curated
ms:o365:audit:all,security,CASB,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Office 365 audit logs,"Office 365 / Microsoft 365 Management Activity API - unified audit log across Exchange, SharePoint, OneDrive, Teams, Entra, DLP, and Power Platform.",N,,AI Analysis,3/25/2026,human_curated
ms:o365:audit:general,security,CASB,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Office 365 audit logs,Office 365 / Microsoft 365 audit log - general workload events (subset of ms:o365:audit:all).,N,,AI Analysis,3/25/2026,human_curated
ms:o365:security:events,security,CASB,high,Alerts.Alerts,Microsoft,Office 365 security events,Office 365 / Microsoft 365 security events via the Splunk Add-on - threat-related events from Defender for Office 365.,N,,AI Analysis,3/25/2026,human_curated
ms:security:alerts,security,EDR,med,,Microsoft,Microsoft ms:security:alerts,Microsoft Graph Security API alerts delivered via the Splunk Add-on for Microsoft Security (older naming related to GraphSecurityAlert).,N,,AI Analysis,3/25/2026,human_curated
MSAD:NT6:DNS,security,IAM,med,Network_Resolution.DNS,Microsoft,Active Directory DNS logs,"Windows DNS Server logs collected via the Splunk Add-on for Microsoft Active Directory - query, response, and error events from AD-integrated DNS.",N,,AI Analysis,3/25/2026,human_curated
MSAD:NT6:DNS-Zone-Information,security,IAM,med,Network_Resolution.DNS,Microsoft,Active Directory DNS zone information,"AD-integrated DNS zone metadata collected via the Splunk Add-on for Microsoft Active Directory - zone names, transfer settings, replication scope.",N,,AI Analysis,3/25/2026,human_curated
MSAD:NT6:Netlogon,security,IAM,high,Authentication.Authentication,Microsoft,AD Netlogon events,"Active Directory Netlogon service events - secure channel establishment, trust validation, NTLM pass-through authentication.",N,,AI Analysis,3/25/2026,human_curated
MSAD:NT6:Replication,operational,,low,,Microsoft,AD replication logs,"Active Directory replication events collected via the Splunk Add-on for Microsoft Active Directory - replication partner status, USN progress, replication failures.",N,,AI Analysis,3/25/2026,human_curated
mscs:azure:audit,security,CSPM,high,Change.All_Changes,Microsoft,Azure audit data (MSCS add-on),Azure audit data via the Splunk Add-on for Microsoft Cloud Services - subscription-level audit events from the activity log.,N,,AI Analysis,5/27/2026,human_curated
mscs:azure:eventhub,"security,operational",,med,,Microsoft,Azure Event Hub data,Azure Event Hub data delivered through the Splunk Add-on for Microsoft Cloud Services - generic event-hub pipeline used for many downstream sourcetypes.,N,,AI Analysis,3/25/2026,human_curated
mscs:resource:networkInterfaceCard,operational,,low,Compute_Inventory.Network,Microsoft,Azure NIC resource metadata,"Azure network interface card resource metadata via the Splunk Add-on for Microsoft Cloud Services - NIC config, IP bindings, NSG association.",N,,AI Analysis,5/27/2026,human_curated
mscs:resource:subscriptions,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure subscription metadata,"Azure subscription metadata via the Splunk Add-on for Microsoft Cloud Services - subscription IDs, names, state, billing scope.",N,,AI Analysis,5/27/2026,human_curated
mscs:resource:virtualMachine,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure virtual machine inventory,"Azure virtual machine resource metadata via the Splunk Add-on for Microsoft Cloud Services - VM size, OS, power state, attached disks/NICs.",N,,AI Analysis,5/27/2026,human_curated
msexchange,security,ESG,med,Email.All_Email,Microsoft,Microsoft Exchange server logs,"Microsoft Exchange Server logs - SMTP message tracking, IIS logs from OWA/EWS, transport rules, and admin audit events depending on log type.",N,,AI Analysis,3/25/2026,human_curated
mssql,operational,,low,Databases.Database_Logs,Microsoft,Microsoft SQL Server logs,"Microsoft SQL Server logs - errorlog (server errors, login events, configuration changes), SQL Server Agent log, and (when enabled) Audit destinations.",N,,AI Analysis,3/25/2026,human_curated
o365,security,CASB,high,"Email.All_Email, Authentication.Authentication",Microsoft,Office 365 logs,Office 365 / Microsoft 365 logs (generic prefix). Often used before more specific sourcetypes were introduced; covers Management Activity API events.,N,,AI Analysis,3/25/2026,human_curated
o365:graph:api,security,IAM,med,,Microsoft,Office 365 Graph API data,"Microsoft Graph API responses captured by Office 365 integrations - users, groups, mail, files, security alerts depending on endpoint queried.",N,,AI Analysis,3/25/2026,human_curated
o365:management:activity,security,CASB,high,"Authentication.Authentication, Change.All_Changes, Email.All_Email",Microsoft,Office 365 management activity logs,"Office 365 / Microsoft 365 Management Activity API audit events across Exchange, SharePoint, OneDrive, Teams, Entra, DLP, and Power Platform workloads.",N,,AI Analysis,3/25/2026,human_curated
onedrive,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Microsoft,OneDrive cloud storage logs,"Microsoft OneDrive activity - file access, share, download, delete events typically sourced from the M365 audit log.",N,,AI Analysis,3/25/2026,human_curated
Perfmon:DFS_Replicated_Folders,operational,,none,Performance.All_Performance,Microsoft,Windows Perfmon metrics,"Windows Performance Monitor counters for DFS Replicated Folders - replication backlog, bytes received, conflict resolution counts.",N,,AI Analysis,3/25/2026,human_curated
Perfmon:Network_Interface,operational,,none,Performance.All_Performance,Microsoft,Windows Perfmon metrics,"Windows Performance Monitor counters for Network Interfaces - bytes/packets sent and received, errors, queue length per NIC.",N,,AI Analysis,3/25/2026,human_curated
Perfmon:NTDS,operational,,none,Performance.All_Performance,Microsoft,Windows Perfmon metrics,"Windows Performance Monitor counters for NTDS (AD Directory Service) - LDAP searches, replication metrics, DRA inbound/outbound.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:CPU,operational,,none,Performance.All_Performance,Microsoft,Windows Perfmon metrics,"Windows Performance Monitor CPU metrics in metrics-format (PerfmonMk) - per-core utilization, queue length, context switches.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:LogicalDisk,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor logical disk metrics - free space, read/write latency, IO operations per second.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:Memory,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor memory metrics - available bytes, committed bytes, page faults, working set.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:Network,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor network metrics - bytes and packets per second by interface, errors, discards.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:PhysicalDisk,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor physical disk metrics - disk queue length, read/write latency, IO operations per second per spindle.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:Process,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor process metrics - per-process CPU, memory, handle count, thread count.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:ProcessorInformation,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor processor information metrics - per-core frequency, utilization, parking state.",N,,AI Analysis,3/25/2026,human_curated
PerfmonMk:System,operational,,none,Performance.All_Performance,Microsoft,Windows performance metrics,"Windows Performance Monitor system metrics - context switches, system calls, processes, threads, uptime.",N,,AI Analysis,3/25/2026,human_curated
powershell,security,EDR,high,Endpoint.Processes,Microsoft,PowerShell execution logs,"PowerShell execution logs (Splunk Add-on for Microsoft PowerShell) - script execution, host activity, and module use.",N,,AI Analysis,3/25/2026,human_curated
powershell:appx2,operational,,low,,Microsoft,PowerShell AppX package inventory,PowerShell-collected inventory of installed AppX (UWP) packages on Windows endpoints.,N,,AI Analysis,3/25/2026,human_curated
sccm,operational,,low,"Inventory.Inventory, Updates.All_Updates",Microsoft,Microsoft SCCM logs,"Microsoft Configuration Manager (SCCM / MECM) logs - client policy, software distribution, hardware/software inventory, compliance evaluation.",N,,AI Analysis,3/25/2026,human_curated
sessionlauncher,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM remote session launcher log - session initialization for Azure Bastion or RDP via Azure agent.,N,,AI Analysis,3/25/2026,human_curated
sharepoint,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Microsoft,SharePoint collaboration logs,"Microsoft SharePoint logs - site activity, document access, permission changes (typically from ULS or M365 audit log).",N,,AI Analysis,3/25/2026,human_curated
teams,operational,,low,"Change.All_Changes, Authentication.Authentication",Microsoft,Microsoft Teams collaboration logs,"Microsoft Teams collaboration events - messages, calls, meetings, channel activity, app usage from the M365 audit log.",N,,AI Analysis,3/25/2026,human_curated
waagent,operational,,low,,Microsoft,Azure Linux agent logs,"Azure Linux Agent (waagent) operational log on Linux VMs - provisioning, extension handler invocations, heartbeat, and metadata service interactions.",N,,AI Analysis,3/25/2026,human_curated
WinEventLog,security,EDR,high,"Authentication.Authentication, Malware.Malware_Operations",Microsoft,Windows Event Log,"Generic Windows Event Log sourcetype - the base sourcetype before channel-specific routing. Usually further refined to WinEventLog:Security, :Application, :System, etc.",N,,AI Analysis,3/25/2026,human_curated
WinEventLog:Application,operational,,low,Application_State.All_Application_State,Microsoft,Windows Application event log,"Windows Application event log - application crashes, MSI installations, application-emitted events.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Directory Service,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Active Directory DS event log,"Windows Active Directory Domain Services event log on domain controllers - directory service startup, schema changes, replication errors, KDC events.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:DNS Server,"security,operational",,med,Network_Resolution.DNS,Microsoft,Windows DNS Server event log,"Windows DNS Server event log - service start/stop, zone load failures, dynamic update issues.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-AppLocker/EXE and DLL,security,EDR,high,Endpoint.Processes,Microsoft,Windows AppLocker EXE/DLL log,AppLocker EXE and DLL channel - executable and library allowed/audited/blocked decisions based on AppLocker policy.,N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-AppLocker/MSI and Script,security,EDR,high,Endpoint.Processes,Microsoft,Windows AppLocker script log,AppLocker MSI and Script channel - script and installer allowed/audited/blocked decisions.,N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-Bits-Client/Operational,security,EDR,med,Endpoint.Processes,Microsoft,Windows BITS client log,"Windows BITS client operational log - background transfer job creation, progress, completion, and errors.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-CodeIntegrity/Operational,security,EPP,high,Malware.Malware_Operations,Microsoft,Windows Code Integrity events,"Windows Code Integrity / WDAC operational log - kernel-mode and user-mode binary integrity verifications, blocked load events.",N,,AI Analysis,3/25/2026,human_curated
WinEventLog:Microsoft-Windows-Defender/Operational,security,EDR,high,"Malware.Malware_Attacks, Endpoint.Processes",Microsoft,Windows Defender operational log,"Microsoft Defender Antivirus operational event log - scan results, threat detections, real-time protection state.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-NTLM/Operational,security,IAM,high,Authentication.Authentication,Microsoft,Windows NTLM operational log,Windows NTLM operational log - NTLM authentication audit events for hunting downgrade attacks and lingering NTLM use.,N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-PowerShell/Operational,security,EDR,high,Endpoint.Processes,Microsoft,Windows PowerShell operational log,"PowerShell operational log - module load events, pipeline execution details (4103/4104), and provider activity. Key sourcetype for PowerShell threat hunting.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-Sysmon/Operational,security,EDR,high,"Endpoint.Processes, Endpoint.Registry, Network_Traffic.All_Traffic",Microsoft,Windows Sysmon event logs,"Microsoft Sysinternals Sysmon events from the Microsoft-Windows-Sysmon/Operational channel - process creation, network connections, file/registry changes, image loads, DNS queries. High-value endpoint telemetry.",N,,AI Analysis,3/25/2026,human_curated
WinEventLog:Microsoft-Windows-TaskScheduler/Operational,security,EDR,med,"Endpoint.Processes, Change.All_Changes",Microsoft,Windows Task Scheduler log,"Windows Task Scheduler operational log - task creation, registration, execution, and history events. Used to detect malicious persistence.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational,security,IAM,high,"Authentication.Authentication, Network_Sessions.All_Sessions",Microsoft,RDP connection manager log,"Windows RDP connection manager log - RDP listener events, incoming session establishment, connection routing decisions.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,security,FW,high,Network_Traffic.All_Traffic,Microsoft,Windows Firewall event log,"Windows Firewall with Advanced Security event log - allowed/dropped connections (when auditing enabled), rule changes, firewall state changes.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Microsoft-Windows-WMI-Activity/Operational,security,EDR,high,Endpoint.Processes,Microsoft,Windows WMI activity log,Windows WMI activity log - WMI query operations and provider activity. Used to detect WMI-based lateral movement and persistence.,N,,MDI Reference,4/3/2026,human_curated
WinEventLog:Security,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Endpoint.Processes",Microsoft,Windows Security event log,"Windows Security event log - logon/logoff, account management, privilege use, object access, policy changes. Foundational sourcetype for Windows authentication and audit detections.",N,,MDI Reference,4/3/2026,human_curated
WinEventLog:System,operational,,low,Change.All_Changes,Microsoft,Windows System event log,"Windows System event log - OS-level events: service control, driver load failures, hardware errors, time service changes.",N,,MDI Reference,4/3/2026,human_curated
WinHostMon,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Windows host monitoring data,"Windows host monitoring data from the Splunk Universal Forwarder host monitor input - processes, services, network ports, drivers, hardware.",N,,AI Analysis,3/25/2026,human_curated
wsus,operational,,low,Updates.All_Updates,Microsoft,Windows Server Update Services logs,"Windows Server Update Services logs - update synchronization, approval, download, and client check-in events.",N,,AI Analysis,3/25/2026,human_curated
